YR,Plot,Strains,MG,PD,Rep,Irr,FinalCFU,LogCFU,AUDPC,LogAUDPC,YldKgHa
2015,207,6070242,4,3,2,Irr,16000.00,4.20,8200.00,3.91,2554.86
2015,208,6070242,4,3,2,Nonirr,27200.00,4.43,13600.00,4.13,2495.63
2015,209,DS97949,4,3,2,Nonirr,5400.00,3.73,2700.00,3.43,2076.12
2015,210,DS97949,4,3,2,Irr,46800.00,4.67,23500.00,4.37,2417.20
2015,213,DT974290,4,3,2,Irr,400.00,2.60,2400.00,3.38,3534.98
2015,214,DT974290,4,3,2,Nonirr,0.00,0.00,200.00,2.30,3798.25
2015,223,60561121,4,3,2,Nonirr,400.00,2.60,900.00,2.95,2869.17
2015,224,60561121,4,3,2,Irr,800.00,2.90,2600.00,3.41,3322.47
2015,227,60561331,5,3,2,Nonirr,400.00,2.60,7300.00,3.86,2689.64
2015,228,60561331,5,3,2,Irr,200.00,2.30,300.00,2.48,3101.30
2015,237,DS880,5,3,2,Irr,0.00,0.00,1200.00,3.08,3383.69
2015,238,DS880,5,3,2,Nonirr,0.00,0.00,200.00,2.30,3372.23
2015,323,LS980358,4,3,3,Irr,35200.00,4.55,17600.00,4.25,2715.09
2015,324,LS980358,4,3,3,Nonirr,13800.00,4.14,6900.00,3.84,2343.99
2015,325,60561331,5,3,3,Nonirr,16800.00,4.23,8600.00,3.93,2763.15
2015,326,60561331,5,3,3,Irr,0.00,0.00,300.00,2.48,2582.79
2015,327,DT974290,4,3,3,Irr,0.00,0.00,400.00,2.60,4276.30
2015,328,DT974290,4,3,3,Nonirr,200.00,2.30,100.00,2.00,3418.98
2015,331,60561121,4,3,3,Irr,800.00,2.90,1000.00,3.00,3259.25
2015,332,60561121,4,3,3,Nonirr,200.00,2.30,100.00,2.00,2783.81
2015,337,Pharaoh,4,3,3,Nonirr,600.00,2.78,2100.00,3.32,2617.65
2015,338,Pharaoh,4,3,3,Irr,11200.00,4.05,6200.00,3.79,3299.69
2015,343,6070242,4,3,3,Irr,25400.00,4.40,14400.00,4.16,3001.87
2015,344,6070242,4,3,3,Nonirr,22600.00,4.35,11300.00,4.05,2349.94
2015,345,DS880,5,3,3,Irr,0.00,0.00,700.00,2.85,4377.26
2015,346,DS880,5,3,3,Nonirr,200.00,2.30,500.00,2.70,4291.46
2015,347,DS97949,4,3,3,Nonirr,30400.00,4.48,15200.00,4.18,2404.37
2015,348,DS97949,4,3,3,Irr,53000.00,4.72,27100.00,4.43,2241.42
2016,107,60561121,4,1,1,Irr,14800.00,4.17,7600.00,3.88,1366.18
2016,108,60561121,4,1,1,Nonirr,0.00,0.00,800.00,2.90,2360.44
2016,113,DS97949,4,1,1,Irr,200.00,2.30,1300.00,3.11,1709.66
2016,114,DS97949,4,1,1,Nonirr,1400.00,3.15,50500.00,4.70,1615.77
2016,115,LS980358,4,1,1,Irr,200.00,2.30,100.00,2.00,2027.41
2016,116,LS980358,4,1,1,Nonirr,6400.00,3.81,4700.00,3.67,2052.72
2016,117,DT974290,4,1,1,Nonirr,800.00,2.90,400.00,2.60,3076.38
2016,118,DT974290,4,1,1,Irr,0.00,0.00,900.00,2.95,3228.61
2016,121,60561331,5,1,1,Nonirr,0.00,0.00,0.00,#NUM!,2261.51
2016,122,60561331,5,1,1,Irr,17800.00,4.25,9100.00,3.96,3204.80
2016,133,6070242,4,1,1,Irr,150800.00,5.18,76000.00,4.88,1765.00
2016,134,6070242,4,1,1,Nonirr,59600.00,4.78,47400.00,4.68,1625.76
2016,137,DS880,5,1,1,Irr,400.00,2.60,2800.00,3.45,3164.66
2016,138,DS880,5,1,1,Nonirr,800.00,2.90,1600.00,3.20,2457.63
2016,141,Pharaoh,4,1,1,Nonirr,61400.00,4.79,32300.00,4.51,1551.84
2016,142,Pharaoh,4,1,1,Irr,600.00,2.78,19300.00,4.29,2453.64
2016,203,DS97949,4,1,2,Nonirr,170200.00,5.23,85300.00,4.93,1167.83
2016,204,DS97949,4,1,2,Irr,200.00,2.30,1300.00,3.11,1492.28
2016,219,LS980358,4,1,2,Nonirr,61400.00,4.79,31500.00,4.50,2042.87
2016,220,LS980358,4,1,2,Irr,2800.00,3.45,1600.00,3.20,1977.39
2016,225,DT974290,4,1,2,Nonirr,0.00,0.00,700.00,2.85,2088.83
2016,226,DT974290,4,1,2,Irr,800.00,2.90,1900.00,3.28,3239.28
2016,229,Pharaoh,4,1,2,Nonirr,9800.00,3.99,5400.00,3.73,2148.30
2016,230,Pharaoh,4,1,2,Irr,10800.00,4.03,5600.00,3.75,2437.28
2016,231,60561331,5,1,2,Nonirr,400.00,2.60,500.00,2.70,2466.02
2016,232,60561331,5,1,2,Irr,2600.00,3.41,1700.00,3.23,2473.01
2016,233,DS880,5,1,2,Nonirr,200.00,2.30,1300.00,3.11,2294.00
2016,234,DS880,5,1,2,Irr,1600.00,3.20,800.00,2.90,3157.88
2016,235,60561121,4,1,2,Irr,14800.00,4.17,9200.00,3.96,2575.19
2016,236,60561121,4,1,2,Nonirr,2400.00,3.38,1400.00,3.15,2086.78
2016,245,6070242,4,1,2,Irr,8800.00,3.94,6200.00,3.79,1757.72
2016,246,6070242,4,1,2,Nonirr,58600.00,4.77,44900.00,4.65,1631.04
2016,303,LS980358,4,1,3,Irr,40600.00,4.61,91700.00,4.96,2498.82
2016,304,LS980358,4,1,3,Nonirr,214200.00,5.33,107500.00,5.03,2243.09
2016,311,Pharaoh,4,1,3,Irr,15800.00,4.20,8400.00,3.92,2047.39
2016,312,Pharaoh,4,1,3,Nonirr,600.00,2.78,400.00,2.60,2284.40
2016,315,60561121,4,1,3,Nonirr,0.00,0.00,10800.00,4.03,843.08
2016,316,60561121,4,1,3,Irr,0.00,0.00,600.00,2.78,2453.37
2016,317,DT974290,4,1,3,Nonirr,200.00,2.30,1900.00,3.28,2198.14
2016,318,DT974290,4,1,3,Irr,0.00,0.00,1600.00,3.20,3569.95
2016,321,DS880,5,1,3,Irr,400.00,2.60,1100.00,3.04,3709.61
2016,322,DS880,5,1,3,Nonirr,0.00,0.00,800.00,2.90,3275.37
2016,329,6070242,4,1,3,Irr,39800.00,4.60,25500.00,4.41,1747.17
2016,330,6070242,4,1,3,Nonirr,140400.00,5.15,72200.00,4.86,1854.84
2016,335,60561331,5,1,3,Irr,0.00,0.00,500.00,2.70,2623.37
2016,336,60561331,5,1,3,Nonirr,800.00,2.90,1200.00,3.08,2073.23
2016,341,DS97949,4,1,3,Irr,37000.00,4.57,21100.00,4.32,1810.75
2016,342,DS97949,4,1,3,Nonirr,71800.00,4.86,36300.00,4.56,1839.08
2016,101,DS880,5,2,1,Irr,0.00,0.00,0.00,.,3606.26
2016,102,DS880,5,2,1,Nonirr,400.00,2.60,1400.00,3.15,3081.63
2016,105,DT974290,4,2,1,Irr,1600.00,3.20,2000.00,3.30,3272.16
2016,106,DT974290,4,2,1,Nonirr,400.00,2.60,2300.00,3.36,2968.25
2016,109,60561331,5,2,1,Nonirr,600.00,2.78,600.00,2.78,1583.41
2016,110,60561331,5,2,1,Irr,1000.00,3.00,900.00,2.95,2008.08
2016,111,6070242,4,2,1,Nonirr,19600.00,4.29,10300.00,4.01,1448.28
